Prefix,Country,ITU,CQ,Continent
SP,POLAND,28,,EU
SQ,POLAND,28,,EU
SR,POLAND,28,,EU
SS,SUDAN,48,34,AF
ST,SUDAN,48,34,AF
SU,EGYPT,38,34,AF
SV,GREECE,28,20,EU
SW,GREECE,28,20,EU
SX,GREECE,28,20,EU
SY,GREECE,28,20,EU
SZ,GREECE,28,20,EU
T2,TUVALU,65,31,OC
T30,KIRIBATI,65,31,OC
T31,KIRIBATI CENTRAL,62,31,OC
T32,KIRIBATI EAST,62,31,OC
T33,KIRIBATI BANABA,65,31,OC
T5,SOMALIA,48,37,AF
T6,AFGANISTAN,40,21,AS
T7,SAN MARINO,28,15,EU
T8,PALAU,64,27,OC
T9,BOSNIA,28,15,EU
TA,TURKEY,39,20,EU
TB,TURKEY,39,20,EU
TC,TURKEY,39,20,EU
TD,GUATEMALA,11,7,NA
TE,COSTA RICA,11,7,NA
TF,ICELAND,17,40,EU
TG,GUATEMALA,11,7,NA
TI,COSTA RICA,11,7,NA
TJ,CAMEROON,47,36,AF
TK,FRANCE,28,14,EU
TL,CENTRAL AFRICAN REPL,47,36,AF
TM,CONGO,52,36,AF
TN,CONGO,52,36,AF
TO,FRANCE,27,14,EU
TP,FRANCE,27,14,EU
TQ,FRANCE,27,14,EU
TR,GABON,52,36,AF
TT,CHAD,47,36,AF
TU,IVORY COAST,46,35,AF
TX0,CHESTERFIELD ISLANDS,56,32,OC
TY,BENIN,46,35,AF
TZ,MALI,46,35,AF
UA0,ASIATIC RUSSIA,,18,AS
UA1,EUROPEAN RUSSIA,,16,EU
UA2F,KALININGRAD,29,16,EU
UA3,EUROPEAN RUSSIA,29,16,EU
"UA4A,C,F,L,S,U,Y",EUROPEAN RUSSIA,29,16,EU
"UA4N,W,P,H",EUROPEAN RUSSIA,30,16,EU
UA4,EUROPEAN RUSSIA,,16,EU
UA5,EUROPEAN RUSSIA,,16,EU
UA6,EUROPEAN RUSSIA,,16,EU
UA7,EUROPEAN RUSSIA,,16,EU
UA8,ASIATIC RUSSIA,,18,AS
UA9,ASIATIC RUSSIA,,17,AS
UB0,ASIATIC RUSSIA,,18,AS
UB1,EUROPEAN RUSSIA,,16,EU
UB2,EUROPEAN RUSSIA,,16,EU
UB3,EUROPEAN RUSSIA,,16,EU
UB4,EUROPEAN RUSSIA,,16,EU
UB5,EUROPEAN RUSSIA,,16,EU
UB6,EUROPEAN RUSSIA,,16,EU
UB7,EUROPEAN RUSSIA,,16,EU
UB8,ASIATIC RUSSIA,,18,AS
UB9,ASIATIC RUSSIA,,"16,17",AS
UC0,ASIATIC RUSSIA,,18,AS
UC1,EUROPEAN RUSSIA,,16,EU
UC2,EUROPEAN RUSSIA,,16,EU
UC3,EUROPEAN RUSSIA,,16,EU
UC4,EUROPEAN RUSSIA,,16,EU
UC5,EUROPEAN RUSSIA,,16,EU
UC6,EUROPEAN RUSSIA,,16,EU
UC7,EUROPEAN RUSSIA,,16,EU
UC8,ASIATIC RUSSIA,,,AS
UC9,ASIATIC RUSSIA,,"16,17",AS
UD0,ASIATIC RUSSIA,,21,AS
UD1,EUROPEAN RUSSIA,,21,EU
UD2,EUROPEAN RUSSIA,,21,EU
UD3,EUROPEAN RUSSIA,,21,EU
UD4,EUROPEAN RUSSIA,,21,EU
UD5,EUROPEAN RUSSIA,,21,EU
UD6,EUROPEAN RUSSIA,,21,EU
UD7,EUROPEAN RUSSIA,,21,EU
UD8,ASIATIC RUSSIA,,21,AS
UD9,ASIATIC RUSSIA,,21,AS
UE0,ASIATIC RUSSIA,,,AS
UE1,EUROPEAN RUSSIA,,16,EU
UE2,EUROPEAN RUSSIA,,16,EU
UE3,EUROPEAN RUSSIA,,16,EU
UE4,EUROPEAN RUSSIA,,16,EU
UE5,EUROPEAN RUSSIA,,16,EU
UE6,EUROPEAN RUSSIA,,16,EU
UE7,EUROPEAN RUSSIA,,16,EU
UE8,ASIATIC RUSSIA,,,AS
UE9,ASIATIC RUSSIA,,"16,17",AS
UF0,ASIATIC RUSSIA,,21,AS
UF1,EUROPEAN RUSSIA,,21,EU
UF2,EUROPEAN RUSSIA,,21,EU
UF3,EUROPEAN RUSSIA,,21,EU
UF4,EUROPEAN RUSSIA,,21,EU
UF5,EUROPEAN RUSSIA,,21,EU
UF6,EUROPEAN RUSSIA,,21,EU
UF7,EUROPEAN RUSSIA,,21,EU
UF8,ASIATIC RUSSIA,,21,AS
UF9,ASIATIC RUSSIA,,21,AS
UG0,ASIATIC RUSSIA,,21,AS
UG1,EUROPEAN RUSSIA,,21,EU
UG2,EUROPEAN RUSSIA,,21,EU
UG3,EUROPEAN RUSSIA,,21,EU
UG4,EUROPEAN RUSSIA,,21,EU
UG5,EUROPEAN RUSSIA,,21,EU
UG6,EUROPEAN RUSSIA,,21,EU
UG7,EUROPEAN RUSSIA,,21,EU
UG8,ASIATIC RUSSIA,,21,AS
UG9,ASIATIC RUSSIA,,21,AS
UH0,ASIATIC RUSSIA,,17,AS
UH1,EUROPEAN RUSSIA,,17,EU
UH2,EUROPEAN RUSSIA,,17,EU
UH3,EUROPEAN RUSSIA,,17,EU
UH4,EUROPEAN RUSSIA,,17,EU
UH5,EUROPEAN RUSSIA,,17,EU
UH6,EUROPEAN RUSSIA,,17,EU
UH7,EUROPEAN RUSSIA,,17,EU
UH8,ASIATIC RUSSIA,,17,AS
UH9,ASIATIC RUSSIA,,17,AS
UI0,ASIATIC RUSSIA,,17,AS
UI1,EUROPEAN RUSSIA,,17,EU
UI2,EUROPEAN RUSSIA,,17,EU
UI3,EUROPEAN RUSSIA,,17,EU
UI4,EUROPEAN RUSSIA,,17,EU
UI5,EUROPEAN RUSSIA,,17,EU
UI6,EUROPEAN RUSSIA,,17,EU
UI7,EUROPEAN RUSSIA,,17,EU
UI8,ASIATIC RUSSIA,,17,AS
UI9,ASIATIC RUSSIA,,17,AS
UJ,UZBEKISTAN,30,17,AS
UK,UZBEKISTAN,30,17,AS
UL,UZBEKISTAN,30,17,AS
UM,UZBEKISTAN,30,17,AS
UN,KAZAKHSTAN,,17,AS
UO,KAZAKHSTAN,,17,AS
UP,KAZAKHSTAN,,17,AS
UQ,KAZAKHSTAN,,17,AS
UR,UKRAINE,29,16,EU
US,UKRAINE,29,16,EU
UT,UKRAINE,29,16,EU
UU,UKRAINE,29,16,EU
UV,UKRAINE,29,16,EU
UW,UKRAINE,29,16,EU
UX,UKRAINE,29,16,EU
UY,UKRAINE,29,16,EU
UZ,UKRAINE,29,16,EU
V2,ANTIGUA,11,8,NA
V3,BELIZE,11,7,NA
V4,ST KITTS / NEVIS,11,8,NA
V5,NAMIBIA,57,38,AF
V6,MICRONESIA,65,27,OC
V7,MARSHALLS,65,31,OC
V8,BRUNEI,54,28,OC
VA,CANADA,,,NA
VB,CANADA,,,NA
VC,CANADA,,,NA
VD,CANADA,,,NA
VE,CANADA,,,NA
VE7,CANADA,,3,NA
VF,CANADA,,,NA
VG,CANADA,,,NA
VH,AUSTRALIA,"55,59","29,30",OC
VI0,AUSTRALIA,,,AN
VI1,AUSTRALIA,59,30,OC
VI2,AUSTRALIA,59,30,OC
VI3,AUSTRALIA,59,30,OC
VI4,AUSTRALIA,55,30,OC
VI5,AUSTRALIA,59,30,OC
VI6,AUSTRALIA,58,29,OC
VI7,AUSTRALIA,59,30,OC
VI8,AUSTRALIA,55,29,OC
VI9,AUSTRALIA,,,OC
VK0H,AUSTRALIA - HEARD,68,39,AN
VK1,AUSTRALIA,59,30,OC
VK2,AUSTRALIA,59,30,OC
VK3,AUSTRALIA,59,30,OC
VK4,AUSTRALIA,55,30,OC
VK5,AUSTRALIA,59,30,OC
VK6,AUSTRALIA,58,29,OC
VK7,AUSTRALIA,59,30,OC
VK8,AUSTRALIA,55,29,OC
VK9C,AUSTRALIA - COCOS,54,29,OC
VK9L,AUSTRALIA - LORD H,59,30,OC
VK9M,AUSTRALIA - MELLISH,55,30,OC
VK9N,AUSTRALIA - NORFOLK,60,30,OC
VK9W,AUSTRALIA - WILLIS,55,30,OC
VK9X,AUSTRALIA - CHRISTMA,54,29,OC
VO2,CANADA,,1,NA
VP2,"ANGULLIA, MONSERRAT",11,8,NA
VP5,TURK CAICOS,11,8,NA
VP6,PITCAIRN,63,32,OC
VP8,"ORKNEY, GEORGIA",73,13,SA
VP8F,FALKLANDS,16,13,SA
VP9,BERMUDA,11,8,NA
VQ9,CHAGOS,41,39,AF
VR2,HONG KONG,44,24,AS
VR6,CHINA,63,24,AS
VS,HONG KONG,44,24,AS
VT,INDIA,41,22,AS
VU,INDIA,41,22,AS
VV,INDIA,41,22,AS
VW,INDIA,41,22,AS
VX,CANADA,,,NA
VY,CANADA,,,NA
VZ,AUSTRALIA,,,OC
VY1,CANADA,,1,NA
W0,USA,7,,NA
W1,USA,8,,NA
W2,USA,8,,NA
W3,USA,8,,NA
W4,USA,8,,NA
W5,USA,7,,NA
W6,USA,6,,NA
W7,USA,6,,NA
W8,USA,8,,NA
W9,USA,8,,NA
WA,USA,,,NA
WB,USA,,,NA
WC,USA,,,NA
WD,USA,,,NA
WE,USA,,,NA
WF,USA,,,NA
WG,USA,,,NA
WH0,USA MARIANA,64,27,OC
WH1,USA BAKER HOWLAND,61,31,OC
WH2,USA GUAM,64,27,OC
WH3,USA JOHNSON,61,31,OC
WH4,USA MIDWAY,61,31,OC
WH5,USA PALMYRA,61,31,OC
WH6,USA HAWAII,61,31,OC
WH7,USA HAWAII,61,31,OC
WH8,USA AMERICAN SAMOA,62,32,OC
WH9,USA WAKE,65,31,OC
WI,USA,,,NA
WJ,USA,,,NA
WK,USA,,,NA
WL,USA ALASKA,1,,NA
WM,USA,,,NA
WN,USA,,,NA
WO,USA,,,NA
WP1,USA NAVASSA,11,8,NA
WP2,USA VIRGIN,11,8,NA
WP3,USA PUERTO RICO,11,8,NA
WP4,USA PUERTO RICO,11,8,NA
WP5,USA DESECHEO,11,8,NA
WQ,USA,,,NA
WR,USA,,,NA
WS,USA,,,NA
WT,USA,,,NA
WU,USA,,,NA
WV,USA,,,NA
WW,USA,,,NA
WX,USA,,,NA
WY,USA,,,NA
WZ,USA,,,NA
XA,MEXICO,10,6,NA
XB,MEXICO,10,6,NA
XC,MEXICO,10,6,NA
XD,MEXICO,10,6,NA
XE,MEXICO,10,6,NA
XF,MEXICO,10,6,NA
XG,MEXICO,10,6,NA
XH,MEXICO,10,6,NA
XI,MEXICO,10,6,NA
XJ,CANADA,,,NA
XK,CANADA,,,NA
XL,CANADA,,,NA
XM,CANADA,,,NA
XN,CANADA,,,NA
XO,CANADA,,,NA
XP,DENMARK,18,14,EU
XQ,CHILE,12,12,SA
XR,CHILE,12,12,SA
XS,CHINA,"33,42,43,44","23,24",AS
XT,BURKINO FASO,46,35,AF
XU,CAMBODIA,49,26,AS
XV,VIETNAM,49,26,AS
XW,LAOS,49,26,AS
XX9,MACAU,44,24,AS
XY,MYANMAR,49,26,AS
XZ,MYANMAR,49,26,AS
YA,AFGANISTAN,40,21,AS
YB,INDONESIA,54,28,OC
YC,INDONESIA,54,28,OC
YD,INDONESIA,54,28,OC
YE,INDONESIA,54,28,OC
YF,INDONESIA,54,28,OC
YG,INDONESIA,54,28,OC
YH,INDONESIA,54,28,OC
YI,IRAQ,39,21,AS
YJ,VANUATU,56,32,OC
YK,SYRIA,39,20,AS
YL,LATVIA,29,15,EU
YM,TURKEY,39,20,EU
YN,NICARAGUA,11,7,NA
YO,ROMANIA,28,20,EU
YP,ROMANIA,28,20,EU
YQ,ROMANIA,28,20,EU
YR,ROMANIA,28,20,EU
YS,EL SALVADOR,11,7,NA
YT,YUGOSLAVIA,28,14,EU
YU,YUGOSLAVIA,28,14,EU
YV,VENEZUELA,12,9,SA
YV0,VENEZUELA AVES ISL,11,8,NA
YW,VENEZUELA,12,9,SA
YX,VENEZUELA,12,9,SA
YY,VENEZUELA,12,9,SA
YZ,YUGOSLAVIA,28,14,EU
Z2,ZIMBABWE,53,38,AF
Z3,YUGOSLAVIA,28,14,EU
ZA,ALBANIA,28,14,EU
ZB,UK - GIBRALTAR,37,14,EU
ZC4,UK SOVEREIGN,39,20,AS
ZD7,ST HELENA,66,38,AF
ZD8,ASCENSION,66,38,AF
ZD9,TRISTAN,66,38,AF
ZE,UK,27,14,EU
ZF,CAYMAN,11,8,NA
ZG,UK,27,14,EU
ZH,UK,27,14,EU
ZI,UK,27,14,EU
ZJ,UK,27,14,EU
ZK1,NEW ZEALAND,62,32,OC
ZK2,NEW ZEALAND,62,32,OC
ZK3,NEW ZEALAND,62,31,OC
ZL,NEW ZEALAND,60,32,OC
ZM,NEW ZEALAND,60,32,OC
ZN,UK,27,14,EU
ZO,UK,27,14,EU
ZP,PARAGUAY,14,11,SA
ZQ,UK,27,14,EU
ZR,SOUTH AFRICA,57,38,AF
ZS,SOUTH AFRICA,57,38,AF
ZT,SOUTH AFRICA,57,38,AF
ZU,SOUTH AFRICA,57,38,AF
ZV,BRAZIL,,11,SA
ZW,BRAZIL,,11,SA
ZX,BRAZIL,,11,SA
ZY,BRAZIL,,11,SA
ZZ,BRAZIL,,11,SA
